datetime,open,high,low,close,volume,symbol
2025-02-03 12:15:00,226.22,226.98,226.19,226.66,113069,AAPL
2025-02-03 12:00:00,226.33,226.57,225.86,226.25,62134,AAPL
2025-02-03 11:45:00,226.16,227.05,226.03,226.57,90556,AAPL
2025-02-03 11:30:00,226.33,227.12,225.7,226.14,110412,AAPL
2025-02-03 11:15:00,226.965,227.22,226.08,226.43,105508,AAPL
2025-02-03 11:00:00,227.89,228.4,226.95,226.98,127785,AAPL
2025-02-03 10:45:00,229.14,229.285,227.89,227.89,79335,AAPL
2025-02-03 10:30:00,229.25,229.77,228.81,229.17,131212,AAPL
2025-02-03 10:15:00,226.66,229.44,226.655,229.23,152091,AAPL
2025-02-03 10:00:00,228.79,228.79,226.64,226.67,169371,AAPL
2025-02-03 09:45:00,230.17,230.46,228.8,228.84,156715,AAPL
2025-02-03 09:30:00,229.7,231.82,229.44,230.16,274556,AAPL
2025-01-31 15:45:00,234.19000,236.5,234.089996,235.86000,6597201,AAPL
2025-01-31 15:30:00,234.31000,234.49001,233.74001,234.19040,1782657,AAPL
2025-01-31 15:15:00,233.82430,234.37000,233.62000,234.28999,2171011,AAPL
2025-01-31 15:00:00,234.11501,234.11501,233.55499,233.80000,1690439,AAPL
2025-01-31 14:45:00,234.019104,234.72000,233.44000,234.13000,2215115,AAPL
2025-01-31 14:30:00,235.15500,235.27991,233.92000,233.98000,1869005,AAPL
2025-01-31 14:15:00,235.59000,235.91000,235,235.13499,1538328,AAPL
2025-01-31 14:00:00,235.28000,235.70000,234.47000,235.59000,2189691,AAPL
2025-01-31 13:45:00,236.42999,236.45000,235.11279,235.25999,1772456,AAPL
2025-01-31 13:30:00,236.42999,236.86000,235.89999,236.42999,1879839,AAPL
2025-01-31 13:15:00,237.56000,237.58990,236.22000,236.42500,2905233,AAPL
2025-01-31 13:00:00,238.32001,238.53990,237.52000,237.52000,1802692,AAPL
2025-01-31 12:45:00,239.024994,239.28000,238.30000,238.31000,1978840,AAPL
2025-01-31 12:30:00,239.75,239.80099,238.97000,239.029999,1135313,AAPL
2025-01-31 12:15:00,239.30000,239.82001,238.88200,239.74001,1442634,AAPL
2025-01-31 12:00:00,238.92000,239.64230,238.74001,239.28999,1446958,AAPL
2025-01-31 11:45:00,239.74001,240.050003,238.75999,238.92999,1700004,AAPL
2025-01-31 11:30:00,238.97000,239.77000,238.82001,239.72000,1633342,AAPL
2025-02-03 12:15:00,202.56,203.24,202.5,202.83,19719,GOOGL
2025-02-03 12:00:00,202.635,202.77,202.345,202.53,21900,GOOGL
2025-02-03 11:45:00,203.33,203.74,202.545,202.625,40598,GOOGL
2025-02-03 11:30:00,203.05,203.37,202.81,203.34,23400,GOOGL
2025-02-03 11:15:00,202.945,203.72,202.945,203.19,29584,GOOGL
2025-02-03 11:00:00,202.35,202.995,201.76,202.93,42787,GOOGL
2025-02-03 10:45:00,202.75,202.83,202.16,202.38,39641,GOOGL
2025-02-03 10:30:00,202.48,203.32,201.92,202.76,92999,GOOGL
2025-02-03 10:15:00,201.14,202.71,200.34,202.51,66911,GOOGL
2025-02-03 10:00:00,202.005,202.08,201.04,201.14,44211,GOOGL
2025-02-03 09:45:00,201.79,202.41,200.55,202.145,82830,GOOGL
2025-02-03 09:30:00,200.2,203.03,200.175,201.95,89428,GOOGL
2025-01-31 15:45:00,203.66000,204.50999,203.47000,204.0099945,3141332,GOOGL
2025-01-31 15:30:00,203.57001,204.17999,203.41010,203.64000,853532,GOOGL
2025-01-31 15:15:00,203.58000,203.92000,203.35001,203.56500,760006,GOOGL
2025-01-31 15:00:00,204.28000,204.28000,203.37000,203.56020,781967,GOOGL
2025-01-31 14:45:00,204.32001,204.80000,203.94000,204.29500,799328,GOOGL
2025-01-31 14:30:00,204.97000,205.20000,204.25999,204.30499,811315,GOOGL
2025-01-31 14:15:00,205.24001,205.47000,204.82001,204.97000,628472,GOOGL
2025-01-31 14:00:00,205.059998,205.42999,204.59000,205.30000,889764,GOOGL
2025-01-31 13:45:00,204.78999,205.27000,204.72000,205.080002,648165,GOOGL
2025-01-31 13:30:00,204.89000,205.17000,204.33501,204.78000,771395,GOOGL
2025-01-31 13:15:00,204.99001,205.48000,204.53999,204.89000,1124174,GOOGL
2025-01-31 13:00:00,204.72000,205.080002,204.69000,204.98500,472610,GOOGL
2025-01-31 12:45:00,204.61000,204.89999,204.49001,204.71001,541816,GOOGL
2025-01-31 12:30:00,204.53999,204.64999,204.22000,204.61000,369673,GOOGL
2025-01-31 12:15:00,204.58000,204.64000,204.29500,204.53000,431166,GOOGL
2025-01-31 12:00:00,204.68581,204.73000,204.27000,204.58000,467634,GOOGL
2025-01-31 11:45:00,204.69870,204.91000,204.64500,204.69000,473588,GOOGL
