datetime,open,high,low,close,volume,symbol
2025-01-31 15:30:00,234.31000,236.5,233.74,235.86000,8379858,AAPL
2025-01-31 15:00:00,234.11501,234.46,233.55499,234.28999,3861450,AAPL
2025-01-31 14:30:00,235.15500,235.27991,233.44000,234.13000,4084120,AAPL
2025-01-31 14:00:00,235.28000,235.93,234.47000,235.13499,3728019,AAPL
2025-01-31 13:30:00,236.42999,236.86000,235.07,235.25999,3652295,AAPL
2025-01-31 13:00:00,238.32001,238.53990,236.12,236.42500,4707925,AAPL
2025-01-31 12:30:00,239.75,239.80099,238.30000,238.31000,3114153,AAPL
2025-01-31 12:00:00,238.92000,239.82001,238.74001,239.74001,2889592,AAPL
2025-01-31 11:30:00,238.97000,240.050003,238.75999,238.92999,3333346,AAPL
2025-01-31 11:00:00,240.91000,241.11,238.59000,238.94901,4937438,AAPL
2025-01-31 10:30:00,240.90500,241.43,240.0099945,240.95000,5232351,AAPL
2025-01-31 10:00:00,241.58000,243.24500,240.55000,240.94360,7393289,AAPL
2025-01-31 09:30:00,247.039993,247.19000,241.35001,241.60500,19941106,AAPL
2025-01-30 15:30:00,239.58000,239.85500,237.24001,237.56000,6836079,AAPL
2025-01-30 15:00:00,239.86501,240.050003,239.45500,239.58000,2837173,AAPL
2025-01-30 14:30:00,239.25,239.96,239.21001,239.86501,1961950,AAPL
2025-01-30 14:00:00,239.64900,239.64900,238.93100,239.25,1736483,AAPL
2025-01-30 13:30:00,238.44000,239.67000,238.44000,239.64999,1623728,AAPL
2025-01-30 13:00:00,238.39000,238.76860,238.28999,238.45000,1325501,AAPL
2025-01-30 12:30:00,238.029999,238.55000,237.90500,238.39500,1358471,AAPL
2025-01-30 12:00:00,238.77000,238.88000,237.81000,238.029999,1664160,AAPL
2025-01-30 11:30:00,238.18440,238.87,238.01,238.78000,1562290,AAPL
2025-01-30 11:00:00,238.085007,238.49001,237.21001,238.16000,4364151,AAPL
2025-01-30 10:30:00,238.46001,239.03,238.059998,238.059998,1855322,AAPL
2025-01-30 10:00:00,239.42000,239.42000,238.089996,238.46001,2708582,AAPL
2025-01-30 09:30:00,238.66499,240.78999,238.41000,239.42000,6092343,AAPL
2025-01-29 15:30:00,239.059998,239.85500,238.72000,239.35001,5064524,AAPL
2025-01-29 15:00:00,238.070007,239.24001,237.69000,239.050003,2619509,AAPL
2025-01-29 14:30:00,236.44000,238.28999,236.34500,238.080002,2266678,AAPL
2025-01-29 14:00:00,236.97000,237.22000,236.31000,236.44501,1452824,AAPL
2025-01-31 15:30:00,203.57001,204.50999,203.41010,204.0099945,3994864,GOOGL
2025-01-31 15:00:00,204.28000,204.28000,203.35001,203.56500,1541973,GOOGL
2025-01-31 14:30:00,204.97000,205.20000,203.94000,204.29500,1610643,GOOGL
2025-01-31 14:00:00,205.059998,205.47000,204.59000,204.97000,1518236,GOOGL
2025-01-31 13:30:00,204.89000,205.27000,204.33501,205.080002,1419560,GOOGL
2025-01-31 13:00:00,204.72000,205.48000,204.53999,204.89000,1596784,GOOGL
2025-01-31 12:30:00,204.53999,204.89999,204.22000,204.71001,911489,GOOGL
2025-01-31 12:00:00,204.68581,204.73000,204.27000,204.53000,898800,GOOGL
2025-01-31 11:30:00,204.44000,205.17000,204.39999,204.69000,1265560,GOOGL
2025-01-31 11:00:00,204.82500,205.12000,204.35001,204.44431,1668400,GOOGL
2025-01-31 10:30:00,204.22000,204.89999,204.14000,204.82500,1324976,GOOGL
